# WINGS                 Weights     Bar   SFR1        SFR2                    SFR3                    SFR4        logM                 M1                     M2                     M3                      M4                      Mtotal                  F1                      F2                      F3                      F4                     Mtype                 
  J004219.20-092315.7   1.7108669   1.0   0.0         0.01460107880078586     0.2922468579972989      0.62043     10.581083297729492   0.0                    8322614.916447939      2.1918514349797416E9    8.375805E9              1.057597904989619E10    0.0                     7.869356470150752E-4    0.20724808782608697     0.7919649765268978     -1.0                  
  J004039.46-092209.3   2.0435355   0.0   0.12121     0.0016686896514013418   0.006296905846035115    0.44685     9.99036979675293     2424200.0              951153.1012987648      4.722679384526336E7     6.032475000000001E9     6.083077146946563E9     3.9851541274909554E-4   1.5636051924414632E-4   0.007763635525972104    0.9916814885420348     1.7999999523162842    
  J004219.95-092118.6   1.6920474   1.0   0.028443    0.00626581324150213     0.1369818493150685      2.2595      10.650774002075195   568860.0               3571513.547656214      1.0273638698630136E9    3.050325E10             3.153475424341067E10    1.803914486249297E-5    1.1325642559597551E-4   0.032578781554249335    0.9672899228752921     -3.9000000953674316   
  J004112.33-092035.6   1.6920474   0.0   0.0         0.004583121838246242    0.090251008103415       0.44937     9.987159729003906    0.0                    2612379.447800358      6.768825607756126E8     6.066495E9              6.745989940223413E9     0.0                     3.8724923561238533E-4   0.1003385072870707      0.8992742434773169     -4.0                  
  J004149.62-091743.1   1.7108669   1.0   0.0         0.03741896138742851     0.1465363303106309      0.68829     10.61959457397461    0.0                    2.1328807990834255E7   1.0990224773297317E9    9.291915E9              1.0412266285320566E10   0.0                     0.0020484308993234317   0.10555074632303219     0.8924008227776443     2.200000047683716     
  J004205.72-091420.8   2.0435355   0.0   0.98973     3.324508418717712E-4    0.0014379497395330888   0.42766     9.807195663452148    1.97946E7              189496.9798669096      1.0784623046498166E7    5.77341E9               5.804178720026365E9     0.0034104049780035173   3.264837094231461E-5    0.0018580790783177636   0.9946988675727364     -3.5999999046325684   
  J004140.35-091018.2   1.6920474   0.0   0.0         0.045129428042937       0.32773153579008296     0.37317     10.215108871459961   0.0                    2.572377398447409E7    2.4579865184256225E9    5.037795E9              7.521505292410097E9     0.0                     0.0034200300318118215   0.3267944943023521      0.669785475665836      -0.5                  
  J004112.89-090900.4   1.7108669   1.0   0.028924    0.20348414639396106     0.3071206058267413      4.9185      10.996612548828125   578480.0               1.1598596344455782E8   2.3034045437005596E9    6.639975E10             6.881971898714511E10    8.405730341736134E-6    0.0016853594456876949   0.0334701242260349      0.9648361105979357     -4.0                  
  J004047.86-090647.8   2.0435355   1.0   0.63811     0.6852318157577624      0.002073286031256029    0.0019478   8.867171287536621    1.27622E7              3.9058213498192453E8   1.5549645234420218E7    2.62953E7               4.451892802163448E8     0.028666907688788157    0.877339487581814       0.034928166345028995    0.059065438384368785   -2.299999952316284    
  J004225.34-090622.1   7.761686    0.0   0.059933    0.02324687597444471     0.045202616148948487    0.25598     9.540555000305176    1198660.0              1.3250719305433486E7   3.3901962111711365E8    3.45573E9               3.8091990004225473E9    3.146750799491008E-4    0.003478610412310727    0.08900023891624113     0.907206475591499      -1.2000000476837158   
  J004134.91-090047.3   1.7108669   0.0   0.0         0.0573172915399081      0.7633285211267605      1.0189      10.7171630859375     0.0                    3.2670856177747615E7   5.724963908450704E9     1.3755149999999998E10   1.951278476462845E10    0.0                     0.00167433078219421     0.2933955341335266      0.7049301350842793     -1.399999976158142    
  J004133.90-085556.4   1.6936723   1.0   0.0         5.358515441785786E-4    0.14984716380474628     1.2509      10.657946586608887   0.0                    305435.3801817898      1.123853728535597E9     1.6887149999999998E10   1.8011309163915775E10   0.0                     1.6957977757314014E-5   0.062397114963033816    0.937585927059209      0.6000000238418579    
  J004258.66-085505.5   1.8900305   0.0   0.0         0.027328674967583698    0.07545744742427166     0.17408     9.708911895751953    0.0                    1.5577344731522707E7   5.659308556820374E8     2.35008E9               2.93158820041356E9      0.0                     0.005313619671864284    0.19304582260298406     0.8016405577251517     -0.8999999761581421   
  J004018.68-085256.8   1.9762846   1.0   0.033015    0.34347393345304883     0.42495126374686476     4.5862      11.472156524658203   660300.0000000001      1.9578014206823784E8   3.1871344781014857E9    6.19137E10              6.529727492016972E10    1.0112213730316632E-5   0.0029982896270570577   0.0488096093136807      0.948181988845532      2.200000047683716     
  J004106.89-084621.0   2.3868172   0.0   0.045642    0.4072642197376259      0.050771065020258535    0.70883     10.004996299743652   912840.0000000001      2.3214060525044677E8   3.8078298765193903E8    9.569205E9              1.0183041432902386E10   8.964315877676057E-5    0.02279678490754031     0.037393836621502155    0.9397197353121808     -4.599999904632568    
  J003945.03-085123.6   1.7793595   0.0   0.20601     0.08169595906973004     0.03498192673162261     0.394       9.888602256774902    4120199.9999999995     4.656669666974612E7    2.6236445048716962E8    5.319E9                 5.632051347156916E9     7.315629325858143E-4    0.008268159112798785    0.04658417232286285     0.9444161056317526     -0.800000011920929    
  J004034.39-085005.7   1.9982655   1.0   0.0         0.00844414493930551     0.05860927069264905     2.4345      10.56484317779541    0.0                    4813162.615404141      4.3956953019486785E8    3.286575E10             3.3310132692810272E10   0.0                     1.4449545007195436E-4   0.013196270763873164    0.9866592337860549     -4.0                  
  J004102.31-085116.2   1.8900305   0.0   0.029612    6.779906922879206E-5    0.0012504447231333204   1.7356      10.39615249633789    592240.0               38645.46946041148      9378335.423499903       2.34306E10              2.344060922089296E10    2.5265554935838773E-5   1.6486546529672191E-6   4.00089235528096E-4     0.9995729965548831     -4.5                  
  J010711.11-155427.1   1.2928215   0.0   0.092847    0.06331648844994052     0.09907575631873432     0.60073     9.927360534667969    1856940.0              3.6090398416466095E7   7.430681723905073E8     8.109855E9              8.890870510806973E9     2.088591885061046E-4    0.004059264879923482    0.08357653747035208     0.9121553384612184     -4.599999904632568    
  J010708.31-155222.5   1.2531109   1.0   0.024573    0.02396733877873089     0.12203031063090874     0.12796     9.94063949584961     491460.0               1.3661383103876607E7   9.152273297318157E8     1.7274599999999998E9    2.656840172835692E9     1.84979136127506E-4     0.005141966477153789    0.3444796337729934      0.6501934206137253     2.5999999046325684    
  J011010.71-154938.8   1.3638396   1.0   0.0         0.049716165715971566    0.03329212039359444     0.16786     9.587912559509277    0.0                    2.833821445810379E7    2.4969090295195833E8    2.2661100000000005E9    2.544139117410063E9     0.0                     0.011138626132580412    0.09814357290577098     0.8907178009616485     -1.600000023841858    
  J011016.66-154917.9   1.3120002   1.0   0.21114     0.043256465082917514    0.14393481574377773     0.12312     9.765575408935547    4222799.999999999      2.4656185097262982E7   1.079511118078333E9     1.6621199999999998E9    2.7705101031755958E9    0.0015241958494068544   0.00889951098499938     0.38964345116120774     0.599932842004386      1.600000023841858     
